# Wikidata (CC0): ISO 3166-2 code (P300) by GeoNames id (P1566).
# Query date: 2026-09-26
# Query: SELECT ?geonames ?iso WHERE { ?item wdt:P300 ?iso ; wdt:P1566 ?geonames . }
1337189	BD-60
1337190	BD-38
1337191	BD-20
1337193	BD-08
1337194	BD-09
1337195	BD-31
1337196	BD-47
1337197	BD-16
1337198	BD-29
1337199	BD-10
1337200	BD-B
1337201	BD-01
1337202	BD-11
1337203	BD-39
1337204	BD-23
1337205	BD-12
1337206	BD-37
1337207	BD-22
1337208	BD-43
1337209	BD-05
1337210	BD-D
1337211	BD-27
1337212	BD-58
1337214	BD-25
1337215	BD-07
1337216	BD-51
1337217	BD-02
1337229	BD-A
1337278	BT-33
1337279	BT-12
1337280	BT-22
1337281	BT-21
1337282	BT-31
1337283	BT-13
1337284	BT-44
1337285	BT-42
1337286	BT-11
1337287	BT-43
1337288	BT-23
1337289	BT-14
1337290	BT-45
1337291	BT-34
1337292	BT-41
1337293	BT-15
1337294	BT-32
1337295	BT-24
1337391	BD-33
1346798	KG-O
1347488	TJ-KT
134766	IR-07
139677	IR-14
139816	IR-18
142549	IR-03
142550	IR-04
1444362	AF-KHO
1444363	AF-NUR
1444364	IN-CG
1444365	IN-JH
1444366	IN-UK
145701	AO-LSU
145702	AO-LNO
146213	CY-05
146267	CY-01
1463580	KG-B
146383	CY-02
146398	CY-03
146411	CY-06
146615	CY-04
146879	AZ-BEY
146900	AZ-ZAN
146962	AZ-YAR
146970	AZ-XA
147163	AZ-SUS
147212	AZ-SAH
147269	AZ-SAL
147284	AZ-SAB
147287	AZ-SAT
147310	AZ-BIL
147365	AZ-ORD
147422	AZ-NEF
147429	AZ-NV
147435	AZ-NX
147551	AZ-MAS
147610	AZ-LER
147613	AZ-LAN
147622	AZ-LA
147626	AZ-LAC
147694	AZ-QBI
1477362	BD-G
1477494	BD-50
147983	AZ-IMI
147997	AZ-SAR
148107	AZ-FUZ
148132	AZ-CUL
148140	AZ-CAB
148155	AZ-CAL
148442	AZ-AST
148449	AZ-XCI
1484838	UZ-TO
1484839	UZ-TK
1484840	UZ-SI
1484841	UZ-NW
1484842	UZ-NG
1484843	UZ-XO
1484844	UZ-JI
1484845	UZ-FA
1484846	UZ-AN
148565	AZ-SR
148615	AZ-AGC
148617	AZ-AGM
148619	AZ-AGM
1486462	RU-YAN
148679	TZ-05
148724	TZ-15
148725	TZ-07
148728	TZ-11
1488747	RU-TYU
1488873	RU-TY
1489421	RU-TOM
1490542	RU-SVE
149595	TZ-25
1496152	RU-OMS
149653	TZ-24
1496745	RU-NVS
149876	TZ-23
150004	TZ-22
1501312	RU-KGN
1502020	RU-KYA
1503773	RU-KHM
1503834	RU-KK
1503900	RU-KEM
150442	TZ-20
150602	TZ-19
1506272	RU-AL
150732	TZ-10
150733	TZ-06
1508290	RU-CHE
1511732	RU-ALT
1512569	UZ-TK
1514967	MN-046
1515696	MN-043
1515917	MN-065
1516012	MN-057
1516278	MN-071
1516290	MN-069
1517381	KZ-63
1518003	KZ-11
1518980	KZ-79
1519367	KZ-59
1520239	KZ-55
1521406	KZ-43
1521671	KZ-39
152219	TZ-18
1523401	KZ-35
1524444	KZ-31
1524787	KZ-61
1526273	KZ-71
1526384	KZ-75
1527297	KG-T
1527534	KG-GO
1527590	KG-N
1528260	KG-Y
1528334	KG-GB
1529047	CN-XJ
1529778	KG-J
153214	TZ-16
1537162	KZ-19
1538652	KG-C
154375	TZ-14
1546748	FR-TF
1547449	MU-RO
154775	TZ-13
155946	TZ-12
1559532	PW-224
1559630	PW-370
1559774	PW-100
1559776	PW-050
1559964	PW-002
1559969	VN-22
1559970	VN-18
1559971	VN-36
1559972	VN-52
1559975	VN-51
1559976	VN-07
1559977	VN-49
1559978	VN-06
1562412	VN-02
1564676	VN-46
1565033	VN-26
1565088	VN-28
1566083	VN-SG
1566165	VN-21
1566338	VN-20
1566557	VN-37
1567643	VN-05
1568733	VN-25
1568758	VN-13
1568769	VN-29
1568839	VN-24
1569805	VN-32
1572594	VN-14
157449	TZ-09
1575788	VN-41
1576632	VN-09
157732	TZ-08
1577882	VN-35
1577954	VN-01
1579008	VN-47
1579634	VN-34
1580700	VN-23
1581019	VN-15
1581030	VN-03
1581088	VN-30
1581130	VN-HN
1581188	VN-CT
1581297	VN-HP
1581882	VN-40
1582562	VN-45
1582720	VN-39
1584169	VN-33
1584534	VN-43
1586182	VN-04
1587871	VN-31
1587974	VN-50
159067	TZ-04
1594446	VN-44
160192	TZ-03
160260	TZ-02
1604767	TH-35
1604869	TH-95
1605214	TH-53
1605277	TH-23
1606029	TH-32
1606032	TH-72
1606146	TH-90
1606238	TH-33
1606269	TH-17
1606375	TH-91
1606417	TH-19
1606585	TH-75
1606587	TH-74
1606589	TH-11
1606789	TH-47
1607000	TH-45
1607016	TH-21
1607530	TH-14
1607551	TH-54
1607707	TH-65
1607724	TH-66
1607736	TH-67
1607758	TH-56
1607778	TH-93
1607976	TH-94
1607982	TH-13
1608132	TH-12
1608231	TH-43
1608408	TH-96
1608451	TH-55
1608525	TH-80
1608526	TH-60
1608528	TH-30
1608530	TH-48
1608533	TH-73
1608538	TH-26
1608595	TH-49
1608899	TH-44
1609031	TH-16
1609070	TH-42
1609348	TH-10
1609350	TH-10
1609775	TH-40
1610468	TH-46
1611108	TH-20
1611268	TH-22
1611406	TH-36
1611415	TH-18
1611438	TH-24
1611452	TH-31
161322	TZ-01
1614295	TH-S
1621034	TH-15
1621176	ID-YO
162152	TM-B
162181	TM-A
162182	TM-S
162183	TM-S
1622470	TL-VI
1626196	ID-SS
1626197	ID-SB
1626229	ID-SA
1626230	ID-SG
1626231	ID-ST
1626232	ID-SN
1629652	ID-RI
163342	SY-TA
1633791	ID-NT
1633792	ID-NB
1636309	TL-MF
1636525	TL-MT
1636627	ID-MA
1637729	TL-LI
1638294	TL-LA
1638535	ID-LA
1639462	TL-CO
1641897	ID-KI
1641898	ID-KT
1641899	ID-KS
1641900	ID-KB
1641903	ID-KA
1642668	ID-JI
1642669	ID-JT
1642672	ID-JB
1642856	ID-JA
1642907	ID-JK
1642911	ID-JK
1643012	ID-PA
1644865	TL-ER
1645456	TL-DI
1648513	TL-BO
1649147	ID-BE
1649538	TL-BA
1650535	ID-BA
1651539	TL-OE
1651809	TL-AN
1651815	TL-AL
1652077	LA-XI
1652210	LA-XA
1652238	LA-VI
1653315	LA-SV
1653333	LA-SL
1653893	LA-PH
1654491	LA-OU
1655558	LA-LP
1655561	LA-LM
1656538	LA-KH
1657114	LA-HO
1657818	LA-CH
1665045	LA-AT
1665148	TW-NWT
1665194	TW-YUN
1667900	TW-TAO
1668292	TW-TTT
1668341	TW-TPE
1668352	TW-TNN
1668354	TW-TNQ
1668355	TW-TNN
1668392	TW-TXG
1670479	TW-PIF
1670651	TW-PEN
1671564	TW-NAN
1671968	TW-MIA
1673820	TW-KHH
1674197	TW-ILA
1674502	TW-HUA
1675107	TW-HSQ
1675151	TW-HSZ
167541	SY-DI
1676511	TW-KIN
1678834	TW-CYI
1678835	TW-CYQ
1679134	TW-CHA
1679428	PH-ZAS
1679429	PH-ZAN
1679435	PH-ZMB
1682671	PH-TAW
1682811	PH-TAR
1685214	PH-SUR
1685215	PH-SUN
